


                                __________________________________________
                               |                                          |
                               | NUMERICAL ELECTROMAGNETICS CODE (nec2++) |
                               | Implemented in 'C++' in Double Precision |
                               |        Version 1.7.5 [Nov 13 2025]        |
                               |__________________________________________|



                               ---------------- COMMENTS ----------------
                                    DISCONE
                               



                                -------- STRUCTURE SPECIFICATION --------
                                COORDINATES MUST BE INPUT IN
                                METERS OR BE SCALED TO METERS
                                BEFORE STRUCTURE INPUT IS ENDED
  WIRE                                                                                 SEG FIRST  LAST  TAG
   No:        X1         Y1         Z1         X2         Y2         Z2       RADIUS   No:   SEG   SEG  No:

     1      0.0000     0.0000    18.2880     0.0847     0.0000    18.2880     0.0013     1     1     1    1
     2      0.0847     0.0000    18.2880     0.4572     0.0000    18.2880     0.0013     3     2     4    2
     3      0.4572     0.0000    18.2880     1.8288     0.0000    18.2880     0.0013     5     5     9    3
     4      1.8288     0.0000    18.2880     5.4864     0.0000    18.2880     0.0013    10    10    19    4
     5      5.4864     0.0000    18.2880     9.1440     0.0000    18.2880     0.0013     8    20    27    5
     6      0.0000     0.0000    18.2880     0.0831     0.0165    18.2880     0.0013     1    28    28    6
     7      0.0831     0.0165    18.2880     0.4484     0.0892    18.2880     0.0013     3    29    31    7
     8      0.4484     0.0892    18.2880     1.7937     0.3568    18.2880     0.0013     5    32    36    8
     9      1.7937     0.3568    18.2880     5.3810     1.0703    18.2880     0.0013    10    37    46    9
    10      5.3810     1.0703    18.2880     8.9683     1.7839    18.2880     0.0013     8    47    54   10
    11      0.0000     0.0000    18.2880     0.0783     0.0324    18.2880     0.0013     1    55    55   11
    12      0.0783     0.0324    18.2880     0.4224     0.1750    18.2880     0.0013     3    56    58   12
    13      0.4224     0.1750    18.2880     1.6896     0.6998    18.2880     0.0013     5    59    63   13
    14      1.6896     0.6998    18.2880     5.0688     2.0995    18.2880     0.0013    10    64    73   14
    15      5.0688     2.0995    18.2880     8.4480     3.4993    18.2880     0.0013     8    74    81   15
    16      0.0000     0.0000    18.2880     0.0704     0.0471    18.2880     0.0013     1    82    82   16
    17      0.0704     0.0471    18.2880     0.3801     0.2540    18.2880     0.0013     3    83    85   17
    18      0.3801     0.2540    18.2880     1.5206     1.0160    18.2880     0.0013     5    86    90   18
    19      1.5206     1.0160    18.2880     4.5618     3.0481    18.2880     0.0013    10    91   100   19
    20      4.5618     3.0481    18.2880     7.6030     5.0801    18.2880     0.0013     8   101   108   20
    21      0.0000     0.0000    18.2880     0.0599     0.0599    18.2880     0.0013     1   109   109   21
    22      0.0599     0.0599    18.2880     0.3233     0.3233    18.2880     0.0013     3   110   112   22
    23      0.3233     0.3233    18.2880     1.2932     1.2932    18.2880     0.0013     5   113   117   23
    24      1.2932     1.2932    18.2880     3.8795     3.8795    18.2880     0.0013    10   118   127   24
    25      3.8795     3.8795    18.2880     6.4658     6.4658    18.2880     0.0013     8   128   135   25
    26      0.0000     0.0000    18.2880     0.0471     0.0704    18.2880     0.0013     1   136   136   26
    27      0.0471     0.0704    18.2880     0.2540     0.3801    18.2880     0.0013     3   137   139   27
    28      0.2540     0.3801    18.2880     1.0160     1.5206    18.2880     0.0013     5   140   144   28
    29      1.0160     1.5206    18.2880     3.0481     4.5618    18.2880     0.0013    10   145   154   29
    30      3.0481     4.5618    18.2880     5.0801     7.6030    18.2880     0.0013     8   155   162   30
    31      0.0000     0.0000    18.2880     0.0324     0.0783    18.2880     0.0013     1   163   163   31
    32      0.0324     0.0783    18.2880     0.1750     0.4224    18.2880     0.0013     3   164   166   32
    33      0.1750     0.4224    18.2880     0.6998     1.6896    18.2880     0.0013     5   167   171   33
    34      0.6998     1.6896    18.2880     2.0995     5.0688    18.2880     0.0013    10   172   181   34
    35      2.0995     5.0688    18.2880     3.4993     8.4480    18.2880     0.0013     8   182   189   35
    36      0.0000     0.0000    18.2880     0.0165     0.0831    18.2880     0.0013     1   190   190   36
    37      0.0165     0.0831    18.2880     0.0892     0.4484    18.2880     0.0013     3   191   193   37
    38      0.0892     0.4484    18.2880     0.3568     1.7937    18.2880     0.0013     5   194   198   38
    39      0.3568     1.7937    18.2880     1.0703     5.3810    18.2880     0.0013    10   199   208   39
    40      1.0703     5.3810    18.2880     1.7839     8.9683    18.2880     0.0013     8   209   216   40
    41      0.0000     0.0000    18.2880     0.0000     0.0847    18.2880     0.0013     1   217   217   41
    42      0.0000     0.0847    18.2880     0.0000     0.4572    18.2880     0.0013     3   218   220   42
    43      0.0000     0.4572    18.2880     0.0000     1.8288    18.2880     0.0013     5   221   225   43
    44      0.0000     1.8288    18.2880     0.0000     5.4864    18.2880     0.0013    10   226   235   44
    45      0.0000     5.4864    18.2880     0.0000     9.1440    18.2880     0.0013     8   236   243   45
    46      0.0000     0.0000    18.2880    -0.0165     0.0831    18.2880     0.0013     1   244   244   46
    47     -0.0165     0.0831    18.2880    -0.0892     0.4484    18.2880     0.0013     3   245   247   47
    48     -0.0892     0.4484    18.2880    -0.3567     1.7937    18.2880     0.0013     5   248   252   48
    49     -0.3567     1.7937    18.2880    -1.0703     5.3810    18.2880     0.0013    10   253   262   49
    50     -1.0703     5.3810    18.2880    -1.7839     8.9683    18.2880     0.0013     8   263   270   50
    51      0.0000     0.0000    18.2880    -0.0324     0.0783    18.2880     0.0013     1   271   271   51
    52     -0.0324     0.0783    18.2880    -0.1749     0.4224    18.2880     0.0013     3   272   274   52
    53     -0.1749     0.4224    18.2880    -0.6998     1.6896    18.2880     0.0013     5   275   279   53
    54     -0.6998     1.6896    18.2880    -2.0995     5.0688    18.2880     0.0013    10   280   289   54
    55     -2.0995     5.0688    18.2880    -3.4992     8.4480    18.2880     0.0013     8   290   297   55
    56      0.0000     0.0000    18.2880    -0.0470     0.0704    18.2880     0.0013     1   298   298   56
    57     -0.0470     0.0704    18.2880    -0.2540     0.3801    18.2880     0.0013     3   299   301   57
    58     -0.2540     0.3801    18.2880    -1.0160     1.5206    18.2880     0.0013     5   302   306   58
    59     -1.0160     1.5206    18.2880    -3.0480     4.5618    18.2880     0.0013    10   307   316   59
    60     -3.0480     4.5618    18.2880    -5.0801     7.6030    18.2880     0.0013     8   317   324   60
    61      0.0000     0.0000    18.2880    -0.0599     0.0599    18.2880     0.0013     1   325   325   61
    62     -0.0599     0.0599    18.2880    -0.3232     0.3233    18.2880     0.0013     3   326   328   62
