


                                __________________________________________
                               |                                          |
                               | NUMERICAL ELECTROMAGNETICS CODE (nec2++) |
                               | Implemented in 'C++' in Double Precision |
                               |        Version 1.7.5 [Nov 13 2025]        |
                               |__________________________________________|



                                -------- STRUCTURE SPECIFICATION --------
                                COORDINATES MUST BE INPUT IN
                                METERS OR BE SCALED TO METERS
                                BEFORE STRUCTURE INPUT IS ENDED
  WIRE                                                                                 SEG FIRST  LAST  TAG
   No:        X1         Y1         Z1         X2         Y2         Z2       RADIUS   No:   SEG   SEG  No:

     1      9.3750    -9.3750     0.0000     6.6964    -9.3750     0.0000     0.0500     1     1     1    1
     2      6.6964    -9.3750     0.0000     4.0179    -9.3750     0.0000     0.0500     1     2     2    2
     3      4.0179    -9.3750     0.0000     1.3393    -9.3750     0.0000     0.0500     1     3     3    3
     4      1.3393    -9.3750     0.0000    -1.3393    -9.3750     0.0000     0.0500     1     4     4    4
     5     -1.3393    -9.3750     0.0000    -4.0179    -9.3750     0.0000     0.0500     1     5     5    5
     6     -4.0179    -9.3750     0.0000    -6.6964    -9.3750     0.0000     0.0500     1     6     6    6
     7     -6.6964    -9.3750     0.0000    -9.3750    -9.3750     0.0000     0.0500     1     7     7    7
     8     -9.3750    -9.3750     0.0000    -9.3750    -6.6964     0.0000     0.0500     1     8     8    8
     9     -9.3750    -6.6964     0.0000    -9.3750    -4.0179     0.0000     0.0500     1     9     9    9
    10     -9.3750    -4.0179     0.0000    -9.3750    -1.3393     0.0000     0.0500     1    10    10   10
    11     -9.3750    -1.3393     0.0000    -9.3750     1.3393     0.0000     0.0500     1    11    11   11
    12     -9.3750     1.3393     0.0000    -9.3750     4.0179     0.0000     0.0500     1    12    12   12
    13     -9.3750     4.0179     0.0000    -9.3750     6.6964     0.0000     0.0500     1    13    13   13
    14     -9.3750     6.6964     0.0000    -9.3750     9.3750     0.0000     0.0500     1    14    14   14
    15     -9.3750     9.3750     0.0000    -6.6964     9.3750     0.0000     0.0500     1    15    15   15
    16     -6.6964     9.3750     0.0000    -4.0179     9.3750     0.0000     0.0500     1    16    16   16
    17     -4.0179     9.3750     0.0000    -1.3393     9.3750     0.0000     0.0500     1    17    17   17
    18     -1.3393     9.3750     0.0000     1.3393     9.3750     0.0000     0.0500     1    18    18   18
    19      1.3393     9.3750     0.0000     4.0179     9.3750     0.0000     0.0500     1    19    19   19
    20      4.0179     9.3750     0.0000     6.6964     9.3750     0.0000     0.0500     1    20    20   20
    21      6.6964     9.3750     0.0000     9.3750     9.3750     0.0000     0.0500     1    21    21   21
    22      9.3750     9.3750     0.0000     9.3750     6.6964     0.0000     0.0500     1    22    22   22
    23      9.3750     6.6964     0.0000     9.3750     4.0179     0.0000     0.0500     1    23    23   23
    24      9.3750     4.0179     0.0000     9.3750     1.3393     0.0000     0.0500     1    24    24   24
    25      9.3750     1.3393     0.0000     9.3750    -1.3393     0.0000     0.0500     1    25    25   25
    26      9.3750    -1.3393     0.0000     9.3750    -4.0179     0.0000     0.0500     1    26    26   26
    27      9.3750    -4.0179     0.0000     9.3750    -6.6964     0.0000     0.0500     1    27    27   27
    28      9.3750    -6.6964     0.0000     9.3750    -9.3750     0.0000     0.0500     1    28    28   28
    29      7.5000    -7.5000     1.2000     5.3571    -7.5000     1.2000     0.0500     1    29    29   29
    30      5.3571    -7.5000     1.2000     3.2143    -7.5000     1.2000     0.0500     1    30    30   30
    31      3.2143    -7.5000     1.2000     1.0714    -7.5000     1.2000     0.0500     1    31    31   31
    32      1.0714    -7.5000     1.2000    -1.0714    -7.5000     1.2000     0.0500     1    32    32   32
    33     -1.0714    -7.5000     1.2000    -3.2143    -7.5000     1.2000     0.0500     1    33    33   33
    34     -3.2143    -7.5000     1.2000    -5.3571    -7.5000     1.2000     0.0500     1    34    34   34
    35     -5.3571    -7.5000     1.2000    -7.5000    -7.5000     1.2000     0.0500     1    35    35   35
    36     -7.5000    -7.5000     1.2000    -7.5000    -5.3571     1.2000     0.0500     1    36    36   36
    37     -7.5000    -5.3571     1.2000    -7.5000    -3.2143     1.2000     0.0500     1    37    37   37
    38     -7.5000    -3.2143     1.2000    -7.5000    -1.0714     1.2000     0.0500     1    38    38   38
    39     -7.5000    -1.0714     1.2000    -7.5000     1.0714     1.2000     0.0500     1    39    39   39
    40     -7.5000     1.0714     1.2000    -7.5000     3.2143     1.2000     0.0500     1    40    40   40
    41     -7.5000     3.2143     1.2000    -7.5000     5.3571     1.2000     0.0500     1    41    41   41
    42     -7.5000     5.3571     1.2000    -7.5000     7.5000     1.2000     0.0500     1    42    42   42
    43     -7.5000     7.5000     1.2000    -5.3571     7.5000     1.2000     0.0500     1    43    43   43
    44     -5.3571     7.5000     1.2000    -3.2143     7.5000     1.2000     0.0500     1    44    44   44
    45     -3.2143     7.5000     1.2000    -1.0714     7.5000     1.2000     0.0500     1    45    45   45
    46     -1.0714     7.5000     1.2000     1.0714     7.5000     1.2000     0.0500     1    46    46   46
    47      1.0714     7.5000     1.2000     3.2143     7.5000     1.2000     0.0500     1    47    47   47
    48      3.2143     7.5000     1.2000     5.3571     7.5000     1.2000     0.0500     1    48    48   48
    49      5.3571     7.5000     1.2000     7.5000     7.5000     1.2000     0.0500     1    49    49   49
    50      7.5000     7.5000     1.2000     7.5000     5.3571     1.2000     0.0500     1    50    50   50
    51      7.5000     5.3571     1.2000     7.5000     3.2143     1.2000     0.0500     1    51    51   51
    52      7.5000     3.2143     1.2000     7.5000     1.0714     1.2000     0.0500     1    52    52   52
    53      7.5000     1.0714     1.2000     7.5000    -1.0714     1.2000     0.0500     1    53    53   53
    54      7.5000    -1.0714     1.2000     7.5000    -3.2143     1.2000     0.0500     1    54    54   54
    55      7.5000    -3.2143     1.2000     7.5000    -5.3571     1.2000     0.0500     1    55    55   55
    56      7.5000    -5.3571     1.2000     7.5000    -7.5000     1.2000     0.0500     1    56    56   56
    57      3.0000    -3.0000     1.2000     0.0000    -3.0000     1.2000     0.0500     1    57    57   57
    58      0.0000    -3.0000     1.2000    -3.0000    -3.0000     1.2000     0.0500     1    58    58   58
    59     -3.0000    -3.0000     1.2000    -3.0000    -0.0000     1.2000     0.0500     1    59    59   59
    60     -3.0000    -0.0000     1.2000    -3.0000     3.0000     1.2000     0.0500     1    60    60   60
    61     -3.0000     3.0000     1.2000    -0.0000     3.0000     1.2000     0.0500     1    61    61   61
    62     -0.0000     3.0000     1.2000     3.0000     3.0000     1.2000     0.0500     1    62    62   62
    63      3.0000     3.0000     1.2000     3.0000     0.0000     1.2000     0.0500     1    63    63   63
    64      3.0000     0.0000     1.2000     3.0000    -3.0000     1.2000     0.0500     1    64    64   64
    65      9.3750     1.3393     0.0000     7.1078     2.5528     0.0000     0.0500     1    65    65   65
    66      7.1078     2.5528     0.0000     9.3750     4.0179     0.0000     0.0500     1    66    66   66
    67      9.3750     1.3393     0.0000     9.3750     4.0179     0.0000     0.0500     1    67    67   67                               NEC++ Runtime Error: 
                               GEOMETRY DATA ERROR -- FIRST SEGMENT MIDPOINT OF WIRE #67 (TAG ID #67) INTERSECTS WIRE #24 (TAG ID #24)
